hex_id,sm
670,0.128
671,0.621
672,0.024
673,0.175
674,0.007
675,NA
676,0.192
677,0.334
678,0.563
679,0.362
693,0.01
694,0.706
695,0.05
696,0.582
697,0.83
698,0.107
699,NA
700,NA
701,0.037
702,0.669
703,1.232
704,3.792
705,2.429
99,0.576
100,0.186
101,0.199
102,0.038
103,NA
115,0.697
116,0.302
117,NA
118,0.056
132,2.114
133,0.451
134,0.255
135,NA
136,0.032
152,0.284
153,0.711
154,0.051
155,0.073
156,NA
171,1.214
172,0.392
173,0.11
174,0.013
175,0.12
191,0.025
192,NA
193,0.158
194,0.099
195,0.035
211,0.59
212,0.083
213,0.253
214,0.402
215,NA
231,0.618
232,NA
233,0.454
234,0.585
250,0.937
251,0.159
252,0.073
253,2.294
269,0.592
270,0.081
271,1.243
272,0.518
288,0.233
289,0.76
290,0.384
291,1.357
307,1.102
308,0.544
309,1.005
310,NA
326,0.32
327,0.662
328,0.403
329,0.532
330,NA
347,1.062
348,1.138
349,0.171
350,NA
351,NA
367,0.385
368,0.758
369,0.391
370,0.038
371,0.198
388,1.027
389,0.763
390,0.12
391,NA
392,0.414
408,0.724
409,0.666
410,0.704
411,NA
412,0.01
413,NA
429,1.507
430,0.914
431,2.105
432,0.035
433,0.19
449,0.576
450,0.456
451,0.467
452,1.737
453,NA
454,NA
471,0.319
472,2.1
473,1.187
474,NA
475,0.618
491,0.43
492,1.909
493,2.879
494,0.462
495,0.516
496,0.02
51,NA
52,0.289
53,0.59
54,0.042
56,NA
57,0.041
58,0.479
59,0.405
60,0.323
61,NA
62,NA
63,0.238
64,0.433
65,0.942
66,0.213
70,0.325
71,0.629
72,0.277
73,0.337
77,0.094
78,0.989
79,0.106
80,0.596
87,0.738
88,0.313
89,0.15
90,0.746
97,0.375
98,0.958
113,1.094
114,0.519
130,0.687
131,1.284
150,1.385
151,0.362
169,0.398
170,2.049
189,1.117
190,1.269
209,0.673
210,3.384
229,0.429
230,2.191
248,0.754
249,1.69
267,0.608
268,2.473
286,0.942
287,0.753
305,0.617
306,1.701
324,0.155
325,0.802
345,1.79
346,0.058
365,0.37
366,0.267
386,0.254
387,0.605
406,0.925
407,0.796
427,0.179
428,2.083
447,0.916
448,0.687
469,1.279
470,0.744
489,0.205
490,1.384
511,0.506
512,1.333
533,NA
534,2.107
557,NA
558,0.554
581,NA
582,0.314
607,0.122
608,0.228
631,NA
632,0.308
656,0.419
657,NA
680,NA
681,0.224
706,0.329
707,0.66
728,0.546
729,0.12
730,3.726
731,1.678
732,0.112
753,0.709
754,0.768
755,3.963
756,2.445
757,2.036
777,0.802
778,1.677
779,0.561
780,5.876
781,3.364
800,0.842
801,0.584
802,2.583
803,4.163
804,2.3
825,3.052
826,1.539
847,6.276
848,6.577
867,2.641
868,6.848
888,9.157
889,0.35
890,1.669
891,0.46
908,0.947
909,5.077
910,0.627
911,0.453
928,4.47
929,3.067
930,0.215
931,0.868
947,1.178
948,7.569
949,1.683
950,0.622
967,4.099
968,2.799
969,1.736
970,0.181
971,0.444
972,1.587
973,0.621
985,4.485
986,5.049
987,1.449
988,0.924
989,2.367
990,1.412
991,0.692
992,NA
1005,6.906
1006,2.84
1007,2.68
1008,0.506
1009,0.319
1010,0.808
1011,0.252
1012,NA
1024,1.756
1025,3.041
1026,2.47
1027,0.912
1028,0.4
1029,0.911
1030,0.495
1031,NA
1044,3.826
1045,3.574
1046,4.689
1047,0.201
1048,0.417
1049,1.408
1050,0.094
1062,1.902
1063,0.935
1064,2.475
1065,0.127
1066,1.899
1067,0.868
1068,0.884
1081,5.082
1082,1.766
1083,2.739
1084,4.662
1085,1.176
1086,1.099
1087,NA
1100,2.699
1101,0.711
1102,4.411
1103,1.303
1104,2.76
1105,0.433
1106,1.825
1119,2.153
1120,0.2
1121,1.046
1122,2.152
1123,1.855
1124,0.625
1137,0.678
1138,0.89
1139,0.584
1140,1.214
1141,8.816
1142,1.947
1143,NA
1156,0.767
1157,0.493
1158,2.327
1159,2.061
1160,3.516
1161,1.815
1174,1.697
1175,1.123
1176,0.34
1177,2.729
1178,3.243
1179,0.65
1180,NA
1193,1.987
1194,0.021
1195,0.659
1196,1.458
1197,1.747
1198,1.569
1211,0.226
1212,0.164
1213,0.278
1214,2.408
1215,0.766
1216,1.633
1217,0.055
1231,0.556
1232,0.005
1233,1.013
1234,2.683
1235,2.638
1236,0.419
1248,0.072
1249,0.015
1250,NA
1251,2.282
1252,3.584
1253,2.317
1265,0.072
1266,NA
1267,NA
1268,0.287
1269,1.511
1280,0.027
1281,0.178
1282,NA
1283,NA
1284,1.769
1285,0.403
1292,0.33
1293,0.731
1294,0.045
1295,0.025
1296,2.493
1302,NA
1303,0.352
1304,0.823
1305,0.4
1306,1.236
1307,0.657
1311,0.329
1312,0.082
1313,1.409
1314,1.198
1315,1.048
1318,0.318
1319,0.17
1320,0.735
1321,0.605
1322,NA
1324,0.145
1325,1.159
1328,0.05
1329,NA
1331,0.47
936,NA
937,0.365
938,0.159
939,NA
940,0.007
956,1.911
957,0.244
958,0.073
959,NA
960,0.079
974,0.938
975,0.203
976,NA
977,0.167
978,0.1
979,0.069
993,NA
994,1.807
995,0.11
996,1.769
997,0.626
998,0.805
1013,0.837
1014,0.268
1015,0.53
1016,2.077
1017,1.073
1018,2.385
1032,NA
1033,0.885
1034,0.102
1035,0.43
1036,5.962
1037,1.319
1051,0.004
1052,0.25
1053,0.031
1054,1.787
1055,6.479
1056,1.484
1069,0.089
1070,0.461
1071,0.113
1072,0.158
1073,1.733
1074,1.228
1088,NA
1089,0.093
1090,0.319
1091,0.019
1092,0.755
1093,0.05
1094,0.647
1107,NA
1108,0.956
1109,0.211
1110,0.092
1111,3.726
1112,0.016
1125,NA
1126,0.066
1127,0.298
1128,0.11
1129,2.32
1130,3.78
1131,0.153
1144,NA
1145,0.32
1146,1.158
1147,2.4
1148,1.074
1149,0.212
1162,NA
1163,0.351
1164,1.34
1165,0.375
1166,1.42
1167,0.567
1168,0.042
1181,0.182
1182,0.14
1183,0.957
1184,0.511
1185,0.37
1186,0.008
1199,NA
1200,NA
1201,0.226
1202,0.443
1203,1.219
1204,NA
1205,NA
1218,NA
1219,NA
1220,NA
1221,0.096
1222,1.038
1223,NA
1224,NA
1237,NA
1238,NA
1239,NA
1240,NA
1241,0.227
1242,NA
1243,NA
1254,NA
1255,NA
1256,NA
1257,NA
1258,0.044
1259,NA
1270,NA
1271,NA
1272,0.054
1273,NA
1274,NA
1275,NA
1276,NA
1286,NA
1287,0.013
1288,NA
1289,NA
1297,NA
1298,NA
1299,NA
1300,NA
1301,NA
1308,NA
1309,NA
1316,NA
1317,NA
1323,NA
1326,NA
1327,0.004
1330,NA
1,NA
2,NA
3,0.053
4,NA
5,NA
6,0.14
7,NA
8,0.282
9,0.201
10,0.076
11,0.156
12,0.083
13,NA
14,0.199
15,0.341
16,0.028
17,0.133
18,0.212
19,0.224
20,NA
21,0.103
22,NA
23,NA
24,0.257
25,0.041
26,0
27,0.738
28,0.405
29,0.412
30,0.021
31,0.031
32,NA
33,0.323
34,1.355
35,1.116
36,NA
37,0.052
38,0.129
39,0.318
40,0.585
41,0.029
42,0.052
43,0.306
44,0.591
45,0.592
46,0.328
47,0.256
48,0.263
