hex_id,soft_wheat_area_km2,hard_wheat_area_km2,corn_grain_area_km2,corn_silage_area_km2,barley_area_km2,rapeseed_area_km2,sunflower_area_km2,sugarbeet_area_km2,vineyards_area_km2
806,159.73798,NA,38.66,1.533,36.71,44.404,0.495,33.407,NA
807,97.44569,NA,17.759,2.209,32.726,36.114999999999995,0.517,23.619,1.458
827,70.87113,0.1,13.312,1.63,41.695,47.491,1.23,0.673,0.004
828,107.38423,0.201,15.09,0.989,61.096,42.897000000000006,1.508,21.737,0.004
829,126.72534,NA,31.616,6.686999999999999,42.067,42.439,0.099,8.165000000000001,NA
830,122.1194,NA,9.267,3.424,37.695,41.937,NA,45.571,NA
849,115.17865,0.141,6.434,0.152,77.27,58.59,4.696,14.298,NA
849,115.17865,0.428,6.434,0.152,77.27,58.59,4.696,14.298,NA
850,120.90923,0.16,16.377,1.779,46.48,63.756,0.722,11.621,2.778
851,65.26179,NA,14.771,3.072,32.928,33.464,0.803,6.702999999999999,2.057
869,85.71194,0.04,2.318,1.612,60.943,53.369,4.259,0.232,0.001
869,85.71194,0.098,2.318,1.612,60.943,53.369,4.259,0.232,0.001
870,96.37424,0.043,4.664,0.416,67.291,35.162,1.504,36.231,NA
871,110.36563,0.035,14.732,4.54,42.884,67.299,0.518,9.952,1.493
872,108.09871,0.069,11.159,1.372,59.853,49.898,NA,15.178,3.071
872,108.09871,0.07,11.159,1.372,59.853,49.898,NA,15.178,3.071
516,95.02571,0.017,3.176,12.383,15.712,29.346000000000004,NA,13.025,NA
516,95.02571,0.02,3.176,12.383,15.712,29.346000000000004,NA,13.025,NA
517,74.95051,0.04,0.887,24.588,26.345,21.242,NA,2.694,0.023
518,25.53257,NA,0.397,5.562,6.421,3.023,NA,6.464,NA
539,66.16323000000001,NA,4.449999999999999,29.741,21.793,21.121,NA,1.763,0.018
540,92.33764,NA,1.401,25.157,35.626,21.743,NA,10.521,NA
541,10.66966,NA,0.837,3.462,3.102,0.624,NA,2.732,NA
542,1.68094,NA,0.02,1.447,0.445,0.072,NA,0.004,NA
562,123.09221,NA,4.638999999999999,11.163,30.817,37.28,0.135,18.133000000000003,NA
563,88.47990999999999,0.053,3.298,40.372,30.925,23.163,NA,5.818,NA
564,105.08986,0.128,2.481,32.555,23.323,7.827,NA,26.132,NA
565,48.11083,NA,1.95,7.07,17.661,5.888999999999999,NA,17.554000000000002,NA
566,36.99565,NA,1.082,14.783,12.231,4.526,NA,6.149,NA
587,101.218,0.203,3.659,36.981,32.037,29.021,NA,9.706,NA
588,119.8287,0.341,3.04,34.157,33.797,23.457,0.007,19.88,NA
589,92.04422,NA,2.256,16.287,17.314,8.126999999999999,NA,32.650999999999996,NA
590,77.90778,0.034,1.113,41.713,29.801,11.375,NA,7.712,NA
591,24.79964,NA,0.552,3.099,5.619,2.894,NA,7.426,NA
612,92.43395,NA,5.305,12.885,31.345,33.761,NA,12.862,NA
613,145.2822,0.012,2.183,20,35.252,43.322,NA,24.145,NA
613,145.2822,0.136,2.183,20,35.252,43.322,NA,24.145,NA
614,114.56927,0.02,2.726,26.71,28.485,18.777,0.009,24.224,NA
615,107.58546,0.009,2.26,27.667,32.318,13.229,NA,22.207,NA
616,87.81038,0.133,2.11,25.374,16.11,7.069,0.012,18.508,NA
637,171.28891,NA,3.959,13.057,36.575,48.766,NA,32.752,NA
638,126.76054,NA,3.718,12.392,33.214,32.677,0.012,30.014,NA
639,126.75311,NA,1.989,31.203000000000003,28.35,19.954,NA,24.251,NA
640,106.7944,0.042,1.537,41.884,34.323,13.257,NA,11.616,NA
641,88.01794000000001,0.096,1.606,2.368,9.635,9.606,NA,21.732,NA
661,119.5231,0.01,11.604,4.174,24.433,32.39,1.198,28.597,NA
662,153.5344,0.132,3.924,6.936,34.589,46.606,NA,36.416,NA
663,133.514,NA,5.281,21.084,33.534,32.515,0.005,25.888,NA
664,120.17983,NA,2.305,38.876,29.956,16.959,NA,19.257,NA
665,107.68414,NA,5.432,18.004,9.097,7.514,NA,23.926,NA
686,176.91089,0.099,6.02,4.471,23.371,40.102,0.003,52.6,NA
687,133.09591,0.027,2.651,4.622,23.099,29.226,0.009,41.697,NA
688,133.8866,0.049,2.014,34.564,27.504,17.59,NA,28.918,NA
689,109.7905,0.125,6.228999999999999,26.269,8.845,4.639,NA,36.14,NA
690,102.76193,NA,6.504,5.762,11.36,3.777,0.014,23.569,NA
711,115.79363,NA,15.567,2.843,23.227,26.06,0.433,41.535,NA
712,160.40896,NA,7.808,1.938,20.29,27.157,NA,50.456,NA
