hex_id,year,milk_cow_km2,meat_cow_km2,horse_km2,goat_km2,sheep_km2,pig_km2,poultry_km2,rabbit_km2
1,2010,3.762492080561024,0,3.034267806904052,1.881246040280512,18.994516471219363,630.4601649185239,0,0
2,2010,21.423998935084427,1.0569172807974985,0,0,0,159.76590139190293,0,0
3,2010,67.6570892742294,3.9479867541074762,0.45470414169793605,0,0.5918371368131866,918.4085383910677,543.9199813094946,0
4,2010,0,0,0,0,0,0,0,0
5,2010,39.75580147627153,6.896647954600613,1.0179132138631088,0.40030294927200905,1.246657756304257,458.10669514688715,2276.1340067877654,0
6,2010,82.24118478350026,2.720104519176611,1.267703032085396,0,0,1000,297.76749100665444,0
7,2010,0,0,0,0,0,0,0,0
8,2010,39.73283956335377,1.7761510056259584,0.6831350021638302,0.14943578172333785,0.4653857202241093,441.0960013034216,3687.140051897766,0
9,2010,66.92609367330688,3.4712343843456908,1.2530188449568076,0,0.22579151463578118,985.6469544719449,1948.0572327398888,0
10,2010,28.11882680388647,2.00107483264149,0.6067088588327921,0.10910115443923017,0.1357111921073351,321.22839171806214,2348.6099075982406,0
11,2010,30.166380564337874,6.316128839142204,0.7448912815727491,0.12014375509237887,0.9886114704744319,416.95718570874243,4408.493161142846,0
12,2010,75.9870199256136,3.8439874627193604,0.7807005502608537,0,0,1000,5154.892214486518,10.607724965427744
13,2010,5.699379274270596,7.176996123155566,2.3219693339620946,0,0,0,0,0
14,2010,49.26739880702513,6.519328610160085,0.509646842180891,0,0.4935041820213152,704.3826699687785,5403.065966219731,0.09685596095745438
15,2010,49.566363845231194,10.343248173261193,0.8895281719642042,0,2.575879346606021,1000,4252.055025285666,0
16,2010,32.005998349751174,9.065650662063627,1.3263701193302864,0.14765732614425453,1.2092625848020846,269.8743133202412,6102.858042475768,0
17,2010,33.59232965796626,10.491947650875211,0.9578261002271438,0.2140763403733478,6.526017922515355,779.2025673976873,7289.866581665853,0
18,2010,31.037499849417685,4.856645054157586,1.195886711108039,0,0,986.3813941781777,5494.242726523456,8.859503018722148
19,2010,24.623260071034867,9.015029098375594,1.2473625167563716,0.048598539613884606,2.632420895752083,376.0635992888414,3781.8330559166698,0
20,2010,62.83659882936689,15.334610129010846,1.5422866877954793,0.14783005448111175,0.9244894451878481,873.238751076098,10214.694911974153,0.13459154213951965
21,2010,36.963101351208174,13.009704966202138,0.9689956702006681,0,3.061496570770676,643.6581330300826,6325.137999110025,0
22,2010,0,0,0,0,0,0,0,0
23,2010,0,0,0,0,0,0,0,0
24,2010,37.45467158564588,9.13533955920365,0.9155194197221722,0.14118853701739523,1.6082256794637677,409.9166504502072,4539.451926836365,0
25,2010,37.167746234994695,12.852686977354775,0.8584641542223571,0.030895882157102823,2.030300827466757,401.08592846605785,10253.848953827914,0
26,2010,47.4223771241123,13.419355830432183,0.7754473070001722,0,0,159.52941191002657,1672.4888691573005,0
27,2010,24.01722689642373,3.057983141907658,1.2535646570040158,0.01786552955350141,0,187.7816035485944,1893.4245531391866,0
28,2010,44.00337076013854,16.281445762375885,2.2549989929730523,0.2360908926106816,4.18785527266424,245.98905844480794,10792.73408434067,16.978686155506495
29,2010,52.95597114167763,17.354001296980933,0.7306250864030385,0,1.6886048069435784,145.7541864210436,7952.648784128387,4.0879687613849764
30,2010,6.222958704446038,1.2953914037826446,1.4985900553563927,0,0,0,0,0
31,2010,9.291912377997923,6.511655131037914,0.34143510050386067,0,80.3348015042655,0.560929093684914,29.29025397893833,0
32,2010,19.17216045794075,0.22824000545167555,1.3531371751777908,0,0,158.30074663826926,0,0
33,2010,41.514467542648845,4.943879358224895,1.096433753252018,0.21619820486659513,1.6854635563069253,236.9355837007379,6298.654523563575,2.669385998863062
34,2010,43.846501669082365,18.010433869608473,1.6662023736741083,0,5.192813490404208,160.03708282347725,11972.99922363797,0.13020654310830782
35,2010,46.57950668978169,9.075123148502305,0.5677841845246769,0,0.46176639073376213,267.1106534807232,4948.54072985712,0
36,2010,9.105121858075766,3.0111426617258434,0,0,38.85807911084303,0,17.445509071903697,0
37,2010,36.10451892001398,3.0034993782421324,1.4314075103741315,1.1433395402676372,0.0937895716625796,174.8058968987317,7576.120621249618,0.006699255118755686
38,2010,37.23016980448104,10.03954676763994,1.8821392072081033,0.24712730504959854,3.1288082014315246,149.8407871304749,7372.063462909755,2.6698574920536986
39,2010,47.535754016831916,10.70796112076395,0.9293035728389244,0,0.25164039739581323,161.47808448327476,9045.558434409997,8.180520287270912
40,2010,23.312219240660802,2.8913818703834813,0.4203011240156439,0,0,154.0838413783558,2578.257532991827,0
41,2010,6.236239272352362,10.042774932099908,0.5669308429411238,0,95.73032233662977,0.9313863848318463,48.63456731230641,0
42,2010,27.050510489968488,4.765058180574456,1.047905281005989,0,0.12225561611736538,87.48553672398612,1044.4326393386552,0.008732544008383242
43,2010,44.471292631209614,4.734368190622871,0.9729060447645322,1.1405723926151092,0,550.0029804899467,12100.908314790391,0
44,2010,43.878198957286976,14.927680200537626,1.6551981298644618,0,4.610278524382481,355.01572261668906,14562.704599040833,8.17888569237026
45,2010,32.48498653213997,4.2591874886266705,0.5018716451616907,0.011202492079502026,0.22404984159004052,417.5796137586857,6078.133887076998,0
46,2010,4.952209706830654,1.249073664927613,2.6450971727878865,0,11.168188062882187,0.17633981151919245,7.949986502656926,0
47,2010,44.354584329076246,6.392459985362192,1.0940856289646816,0,0.6639511578999379,598.1957292720404,10816.397431898684,0.006617453400996059
