hex_id,cow_density_km2,sheep_density_km2,goat_density_km2,pig_density_km2
1332,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1333,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1334,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1335,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1336,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1337,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1338,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1339,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1340,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1341,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1342,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1343,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1344,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1345,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1346,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1347,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1348,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1349,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1350,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1351,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1352,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1353,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1354,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1355,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1356,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1357,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1358,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1359,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1360,6.141475672584566,11.755308657684036,5.22269561238273,7.488817116992934
1361,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1362,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1363,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1364,4.804200384651613,6.587307369522564,3.4618502771754263,10.014948170274774
1365,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1366,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
1367,7.478750960517519,16.92330994584551,6.983540947590034,4.962686063711092
513,6.0406925180098945,1.401869828660138,0.16700976298117168,10.255074233965075
514,15.21806106228192,2.8841454218510862,0.13945275896122694,9.90722645360771
515,13.511249275189678,2.6593613329287926,0.2846997539757428,4.828041629004921
535,5.604668180848373,1.6731143628781804,0.5692271910070646,6.323839567652474
536,6.0406925180098945,1.401869828660138,0.16700976298117168,10.255074233965075
537,11.021063689463084,2.2401974981725745,0.24546975697755244,6.637052497324973
538,9.8201912082437,2.201437041493703,0.29474041072164453,3.572569977692996
559,6.0406925180098945,1.401869828660138,0.16700976298117168,10.255074233965075
560,4.333880730917654,1.1770857397378447,0.31225675799568753,5.17588940936229
561,9.8201912082437,2.201437041493703,0.29474041072164453,3.572569977692996
583,5.604668180848373,1.6731143628781804,0.5692271910070646,6.323839567652474
584,2.9565368350124817,0.9183731929717848,0.24062101817948472,3.450959604503474
585,2.6270689438254147,0.9523016508155514,0.4575037530102034,0.09670458475950272
586,14.570820888818842,3.4113570878096695,0.18347771582611447,4.220290458241763
609,3.803728468299627,1.2490589417320084,0.4119346401870695,4.216259710030264
610,1.4144589935137752,0.676624875127608,0.27742664577864123,0.04890228977267271
611,2.5325720090885775,1.1189450547195372,0.3861627386118257,0.5791656299143244
633,5.168643843686851,1.9443588970962224,0.9714446190329576,2.3926049013398716
634,1.4144589935137752,0.676624875127608,0.27742664577864123,0.04890228977267271
635,1.3167482653448226,0.6597095522196849,0.21741875394268265,0.2898578136536229
636,9.658516529951292,2.9338251241934867,0.21926869626853057,1.5507463507374744
658,2.624676227864725,1.1101818351973285,0.39296140630586063,1.1281718160545402
659,0.08366514825716116,0.13501454430125903,0.03244984618235969,3.666649286142339e-4
660,1.304164064459169,0.5678898740075198,0.1993943792917262,0.29168715161909997
682,3.8360898201960194,1.4647987030761604,0.5407673401852514,1.6917077266888891
683,1.3526924199536616,0.6930933042478815,0.10371979994231212,0.49595527341187456
684,1.0284539024571593,0.46171837754694767,0.09003276509884933,0.41217091475096074
685,9.658516529951292,2.9338251241934867,0.21926869626853057,1.5507463507374744
708,2.624676227864725,1.1101818351973285,0.39296140630586063,1.1281718160545402
709,0.9181770804922236,0.46342738065329175,0.06914653329487475,0.33063684894124973
710,5.493020274066823,1.721639536008519,0.14346987345446496,1.0251801500401516
733,3.8360898201960194,1.4647987030761604,0.5407673401852514,1.6917077266888891
734,2.503535796705187,0.9852385090560982,0.11009006133754516,0.9908105520379064
735,2.503535796705187,0.9852385090560982,0.11009006133754516,0.9908105520379064
736,16.878957985550844,4.582061789763451,0.12371566832361316,2.039866026405803
758,8.00872336701272,2.2844345119940863,0.4321986541503879,4.562221927795801
759,2.503535796705187,0.9852385090560982,0.11009006133754516,0.9908105520379064
760,9.691246891128015,2.7836501494097745,0.11690286483057916,1.5153382892218548
782,7.062030192570765,2.171075973694798,0.6119473091112445,3.839016252310491
783,2.503535796705187,0.9852385090560982,0.11009006133754516,0.9908105520379064
