hex_id,year,month,mean_temperature_celsius
120,2007,1,8.681452517209179
319,2007,1,7.676836334439665
565,2007,1,8.614138402848214
577,2007,1,5.108463714579884
626,2007,1,3.857529675488267
1144,2007,1,7.66466373247541
1105,2007,1,5.611236294815296
1045,2007,1,5.316989185942895
796,2007,1,2.4199717659349447
1227,2007,1,2.5111137888182977
640,2007,1,7.833382902288257
847,2007,1,6.270405046660668
1276,2007,1,-6.02831589362454
358,2007,1,7.4314534591227
1119,2007,1,5.360045297227668
1171,2007,1,2.9300650279112324
742,2007,1,8.137165474534186
1157,2007,1,5.204214880634612
1013,2007,1,9.401176876289112
415,2007,1,6.7544299666067396
1122,2007,1,5.511532377231252
762,2007,1,7.37456747656377
58,2007,1,7.967026548528953
908,2007,1,5.51784580409218
774,2007,1,2.728124378200871
1363,2007,1,12.969284371598375
735,2007,1,7.3253733953349345
214,2007,1,8.417789962818121
354,2007,1,6.850219803930967
1343,2007,1,11.901558176161092
609,2007,1,7.12114554602199
118,2007,1,9.977994202149183
868,2007,1,6.365195334908761
743,2007,1,8.320643146517163
488,2007,1,7.462253310144184
665,2007,1,8.340701215795523
1197,2007,1,5.837676987500646
168,2007,1,8.120276491362944
345,2007,1,7.668320141812015
1273,2007,1,-2.5546265033840174
1052,2007,1,7.644556871635404
624,2007,1,4.9510516792826795
777,2007,1,5.867512549799619
550,2007,1,5.815125021169815
1201,2007,1,4.7763852292895566
270,2007,1,6.7966410432767725
327,2007,1,6.752165286678028
919,2007,1,3.901965149765322
898,2007,1,6.309851577821668
790,2007,1,8.522729492187523
965,2007,1,4.9654930528001415
1047,2007,1,6.059878325806034
1143,2007,1,5.035650463343714
871,2007,1,6.560018676673786
1242,2007,1,-5.7914577223996115
1234,2007,1,5.716305830142501
225,2007,1,8.453535789731138
127,2007,1,9.379023102052654
1043,2007,1,5.13989819529496
734,2007,1,7.2541824353256334
758,2007,1,7.1650248241761165
244,2007,1,8.252493812435816
1192,2007,1,5.62808917339804
498,2007,1,5.578072960159279
1015,2007,1,7.537286663566908
816,2007,1,3.3200327820295032
568,2007,1,4.525657010018564
542,2007,1,8.664208984375023
934,2007,1,6.303470108837296
1176,2007,1,5.098765432265792
746,2007,1,4.432098958105201
939,2007,1,2.9104169705661027
1334,2007,1,12.547443549211655
1316,2007,1,3.684726421575422
231,2007,1,7.1466714454615765
833,2007,1,7.535689486523876
360,2007,1,7.348519458284387
503,2007,1,6.608183835336465
212,2007,1,7.216367060849866
628,2007,1,5.98682273753473
295,2007,1,7.269335564281184
1241,2007,1,-3.7941185817122536
296,2007,1,7.554181704784368
1127,2007,1,5.26000460115651
115,2007,1,8.0539150643096
129,2007,1,8.43268278075219
842,2007,1,5.195619991698127
1071,2007,1,6.4921266345241895
427,2007,1,7.296283313572917
502,2007,1,6.451380286269544
128,2007,1,8.53796013292573
1261,2007,1,-2.501986565456555
713,2007,1,7.303222973753174
312,2007,1,6.336314372250031
744,2007,1,6.325940639283628
70,2007,1,8.684556528574815
1035,2007,1,6.703972770563815
809,2007,1,7.307027935444591
895,2007,1,6.828451368999308
194,2007,1,9.116763783610631
914,2007,1,6.648272654518001
783,2007,1,7.068974500617219
252,2007,1,7.135377689162089
1150,2007,1,3.643155536666241
1006,2007,1,5.703263345582427
247,2007,1,7.804965103558133
66,2007,1,8.49211520584128
1191,2007,1,4.225320241565161
1356,2007,1,6.152910164889635
265,2007,1,7.7390383818971555
133,2007,1,8.255279515617964
1114,2007,1,4.811095419511433
308,2007,1,6.882839069382732
1335,2007,1,12.63806370775853
1306,2007,1,5.332855029616576
658,2007,1,7.227002019049131
1021,2007,1,6.125989346840127
49,2007,1,9.039218111375744
697,2007,1,4.895162157498395
243,2007,1,8.241495532375044
580,2007,1,7.327447491571058
426,2007,1,7.590943272923374
1104,2007,1,5.537359063119027
603,2007,1,5.39609775929584
606,2007,1,7.265766717974796
68,2007,1,9.830214568651598
963,2007,1,5.350041063625585
584,2007,1,7.117071923096629
1107,2007,1,8.115622411287255
787,2007,1,7.367699979451832
1126,2007,1,6.896176699456646
1352,2007,1,11.43148140190458
373,2007,1,4.74193336834841
100,2007,1,8.449418524596663
255,2007,1,6.974498729466367
45,2007,1,9.658681142386552
551,2007,1,5.239394560715521
674,2007,1,3.7030827107559703
929,2007,1,6.2024001920788034
1202,2007,1,2.6508991976680893
398,2007,1,7.053090791327361
709,2007,1,7.36513892931162
56,2007,1,10.694116210937525
318,2007,1,7.616490662956467
39,2007,1,8.96674994500596
65,2007,1,7.864485708110724
357,2007,1,7.302276059287828
589,2007,1,8.30396800944719
434,2007,1,4.3358048280456805
20,2007,1,8.401490785799114
453,2007,1,7.989589101834747
266,2007,1,7.919918369347475
372,2007,1,0.9274841308593976
1308,2007,1,6.767663574218773
1097,2007,1,6.425598969509846
909,2007,1,6.1384652654821465
1103,2007,1,5.392877052239001
15,2007,1,9.759520044237693
1117,2007,1,6.324853726568304
866,2007,1,5.713077884828462
1247,2007,1,4.421721150411854
217,2007,1,7.17591880432067
213,2007,1,7.5525299012840446
1213,2007,1,5.029992349154363
1024,2007,1,4.886927246439063
704,2007,1,6.685223279491933
1151,2007,1,3.5888946851217036
111,2007,1,8.672780835965142
1288,2007,1,-4.37748329050233
769,2007,1,5.8145792339746265
741,2007,1,8.154656982421898
814,2007,1,6.916352487991625
142,2007,1,9.70075289179754
1300,2007,1,-4.730672444212352
1333,2007,1,12.938653564453148
1158,2007,1,5.129487860924484
8,2007,1,10.643204623644138
1178,2007,1,5.78372335342276
643,2007,1,6.595885830079096
