hex_id,year,month,total_rainfall_mm
120,2017,1,95.88367405329274
319,2017,1,35.66646517540536
565,2017,1,66.22984705439134
577,2017,1,47.55414379290855
626,2017,1,59.43520186673661
1144,2017,1,34.67341793030116
1105,2017,1,43.053510974968106
1045,2017,1,64.72301364769238
796,2017,1,53.946395575350365
1227,2017,1,73.40703843837034
640,2017,1,54.49731747748698
847,2017,1,53.1844559937085
1276,2017,1,56.81500223003906
358,2017,1,32.20699415298279
1119,2017,1,67.47569301647654
1171,2017,1,86.3868401618815
742,2017,1,95.62337792808364
1157,2017,1,70.93214301575172
1013,2017,1,50.22478039137128
415,2017,1,56.33053546304411
1122,2017,1,45.244914728811224
762,2017,1,41.01821619969766
58,2017,1,31.052901227221906
908,2017,1,59.07624042807294
774,2017,1,58.52497665866299
1363,2017,1,63.00751246441571
735,2017,1,36.09070087394537
214,2017,1,47.35275382537212
354,2017,1,54.55735097208583
1343,2017,1,63.00143973814664
609,2017,1,40.8424664760958
118,2017,1,72.30421238815103
868,2017,1,52.10863797883544
743,2017,1,78.730231889183
488,2017,1,32.399964351573054
665,2017,1,58.10481705778483
1197,2017,1,40.39546329573032
168,2017,1,30.29115246318778
345,2017,1,38.0660312706632
1273,2017,1,21.78092973384844
1052,2017,1,25.8861849531877
624,2017,1,61.718619750379155
777,2017,1,48.11792927847576
550,2017,1,50.1969617368712
1201,2017,1,17.609644994527113
270,2017,1,45.11546320978931
327,2017,1,41.31931485106536
919,2017,1,87.40853427289416
898,2017,1,117.88605737069668
790,2017,1,88.63194286823273
965,2017,1,52.78954547406908
1047,2017,1,56.50452697322368
1143,2017,1,44.66603470176484
871,2017,1,43.96905340131883
1242,2017,1,46.15153070990158
1234,2017,1,52.824398342159846
225,2017,1,31.38246455436211
127,2017,1,33.11209351696552
1043,2017,1,54.398854704270555
734,2017,1,39.10443523323828
758,2017,1,40.18074543146438
244,2017,1,33.84352006403542
1192,2017,1,81.84272296200805
498,2017,1,105.12553977061091
1015,2017,1,29.606519590193585
816,2017,1,67.88280087759202
568,2017,1,107.39293896881688
542,2017,1,74.17643070220947
934,2017,1,58.20688290369193
1176,2017,1,63.61651538811875
746,2017,1,66.79965674815263
939,2017,1,71.35720576524248
1334,2017,1,97.468809252488
1316,2017,1,26.166422891970633
231,2017,1,42.28904868382288
833,2017,1,49.277944297267815
360,2017,1,40.03402344826717
503,2017,1,37.88224457066054
212,2017,1,48.17246480514391
